"time";"r ngspice/tran.i(vi5)";"i ngspice/tran.i(vi5)"
0;3.63266e-12;0
1e-11;-1.6035e-05;0
2e-11;-1.6609e-05;0
4e-11;-1.66005e-05;0
8e-11;-1.57181e-05;0
1.6e-10;-1.39078e-05;0
2.83795e-10;-1.08011e-05;0
4.52159e-10;2.52155e-05;0
6.21144e-10;0.000176941;0
6.37173e-10;0.000240764;0
6.69231e-10;0.000379524;0
7.11123e-10;0.000335617;0
7.56686e-10;0.000325996;0
8.02153e-10;0.00030912;0
8.46792e-10;0.000290469;0
8.91383e-10;0.000246903;0
9.38192e-10;0.000256682;0
9.95448e-10;0.000232141;0
1.05415e-09;0.000281474;0
1.11503e-09;0.000232594;0
1.18457e-09;0.000268438;0
1.32365e-09;0.00020793;0
1.55178e-09;0.000236113;0
1.84536e-09;0.000176065;0
2.27108e-09;0.000210043;0
3.12251e-09;0.000154962;0
4.65912e-09;0.000197782;0
6.45079e-09;0.000152284;0
9.36927e-09;0.000197937;0
1.46865e-08;0.000152267;0
2.5321e-08;0.000197941;0
4.659e-08;0.000152265;0
8.91279e-08;0.000197942;0
1.74204e-07;0.000152265;0
3.44356e-07;0.000197942;0
6.84659e-07;0.000152265;0
1.36527e-06;0.000197942;0
2.72648e-06;0.000152265;0
5.44891e-06;0.000197942;0
1.08938e-05;0.000152265;0
2.17835e-05;0.000197942;0
4.35629e-05;0.000152265;0
8.71218e-05;0.000197942;0
0.00017424;0.000152265;0
0.000348475;0.000197942;0
0.000696946;0.000152265;0
0.00139389;0.000197942;0
0.00278777;0.000152265;0
0.00557554;0.000197942;0
0.0111511;0.000152265;0
0.0223021;0.000197942;0
0.0446043;0.000152265;0
0.0892086;0.000197942;0
0.178417;0.000152265;0
0.338417;0.000197942;0
0.498417;0.000152265;0
0.658417;0.000197942;0
0.818417;0.000152265;0
0.978417;0.000197942;0
1.13842;0.000152265;0
1.29842;0.000197942;0
1.45842;0.000152265;0
1.61842;0.000197942;0
1.77842;0.000152265;0
1.93842;0.000197942;0
2.09842;0.000152265;0
2.25842;0.000197942;0
2.41842;0.000152265;0
2.57842;0.000197942;0
2.73842;0.000152265;0
2.89842;0.000197942;0
3.05842;0.000152265;0
3.21842;0.000197942;0
3.37842;0.000152265;0
3.53842;0.000197942;0
3.69842;0.000152265;0
3.85842;0.000197942;0
4.01842;0.000152265;0
4.17842;0.000197942;0
4.33842;0.000152265;0
4.49842;0.000197942;0
4.65842;0.000152265;0
4.81842;0.000197942;0
4.97842;0.000152265;0
5.13842;0.000197942;0
5.29842;0.000152265;0
5.45842;0.000197942;0
5.61842;0.000152265;0
5.77842;0.000197942;0
5.93842;0.000152265;0
6.09842;0.000197942;0
6.25842;0.000152265;0
6.41842;0.000197942;0
6.57842;0.000152265;0
6.73842;0.000197942;0
6.89842;0.000152265;0
7.05842;0.000197942;0
7.21842;0.000152265;0
7.37842;0.000197942;0
7.53842;0.000152265;0
7.69842;0.000197942;0
7.85842;0.000152265;0
8.01842;2.32315e-05;0
8.17842;-2.32316e-05;0
8.33842;2.32315e-05;0
8.49842;-2.32316e-05;0
8.65842;2.32315e-05;0
8.81842;-2.32316e-05;0
8.97842;2.32315e-05;0
9.13842;-2.32345e-05;0
9.29842;2.32344e-05;0
9.45842;-2.32345e-05;0
9.61842;2.32344e-05;0
9.77842;-2.32345e-05;0
9.93842;2.32344e-05;0
10.0984;-2.32373e-05;0
10.2584;2.32371e-05;0
10.4184;-2.32373e-05;0
10.5784;2.32371e-05;0
10.7384;-2.32373e-05;0
10.8984;2.32371e-05;0
11.0584;-2.32399e-05;0
11.2184;2.32397e-05;0
11.3784;-2.32399e-05;0
11.5384;2.32397e-05;0
11.6984;-2.32399e-05;0
11.8584;2.32397e-05;0
12.0184;-2.32424e-05;0
12.1784;2.32422e-05;0
12.3384;-2.32424e-05;0
12.4984;2.32422e-05;0
12.6584;-2.32424e-05;0
12.8184;2.32422e-05;0
12.9784;-2.32424e-05;0
13.1384;2.32446e-05;0
13.2984;-2.32448e-05;0
13.4584;2.32446e-05;0
13.6184;-2.32448e-05;0
13.7784;2.32446e-05;0
13.9384;-2.32448e-05;0
14.0984;2.32469e-05;0
14.2584;-2.32471e-05;0
14.4184;2.32469e-05;0
14.5784;-2.32471e-05;0
14.7384;2.32469e-05;0
14.8984;-2.32471e-05;0
15.0584;2.32491e-05;0
15.2184;-2.32493e-05;0
15.3784;2.32491e-05;0
15.5384;-2.32493e-05;0
15.6984;2.32491e-05;0
15.8584;-2.32493e-05;0
16;2.32491e-05;0
