"time";"r ngspice/tran.v(vout)";"i ngspice/tran.v(vout)"
0;2.4048e-07;0
1e-11;0.0747301;0
2e-11;0.133829;0
4e-11;0.23251;0
8e-11;0.372946;0
1.6e-10;0.561271;0
2.83795e-10;0.720303;0
4.52159e-10;1.01074;0
6.21144e-10;1.24458;0
6.37173e-10;1.0508;0
6.69231e-10;0.476708;0
7.11123e-10;0.400686;0
7.56686e-10;1.43086;0
8.02153e-10;2.66811;0
8.46792e-10;3.82752;0
8.91383e-10;4.46802;0
9.38192e-10;4.84873;0
9.95448e-10;5.1953;0
1.05415e-09;5.05119;0
1.11503e-09;4.97154;0
1.18457e-09;4.91339;0
1.32365e-09;4.80042;0
1.55178e-09;4.63625;0
1.84536e-09;4.45753;0
2.27108e-09;4.25796;0
3.12251e-09;4.02606;0
4.65912e-09;3.93187;0
6.45079e-09;3.94256;0
9.36927e-09;3.93795;0
1.46865e-08;3.94141;0
2.5321e-08;3.93837;0
4.659e-08;3.94123;0
8.91279e-08;3.93845;0
1.74204e-07;3.94119;0
3.44356e-07;3.93847;0
6.84659e-07;3.94118;0
1.36527e-06;3.93847;0
2.72648e-06;3.94118;0
5.44891e-06;3.93847;0
1.08938e-05;3.94118;0
2.17835e-05;3.93847;0
4.35629e-05;3.94118;0
8.71218e-05;3.93847;0
0.00017424;3.94118;0
0.000348475;3.93847;0
0.000696946;3.94118;0
0.00139389;3.93847;0
0.00278777;3.94118;0
0.00557554;3.93847;0
0.0111511;3.94118;0
0.0223021;3.93847;0
0.0446043;3.94118;0
0.0892086;3.93847;0
0.178417;3.94118;0
0.338417;3.93847;0
0.498417;3.94118;0
0.658417;3.93847;0
0.818417;3.94118;0
0.978417;3.93847;0
1.13842;3.67841;0
1.29842;3.67593;0
1.45842;3.67841;0
1.61842;3.67593;0
1.77842;3.67841;0
1.93842;3.67593;0
2.09842;3.41578;0
2.25842;3.41325;0
2.41842;3.41578;0
2.57842;3.41325;0
2.73842;3.41578;0
2.89842;3.41325;0
3.05842;3.15301;0
3.21842;3.15071;0
3.37842;3.15301;0
3.53842;3.15071;0
3.69842;3.15301;0
3.85842;3.15071;0
4.01842;2.8904;0
4.17842;2.88801;0
4.33842;2.8904;0
4.49842;2.88801;0
4.65842;2.8904;0
4.81842;2.88801;0
4.97842;2.8904;0
5.13842;2.62547;0
5.29842;2.62764;0
5.45842;2.62547;0
5.61842;2.62764;0
5.77842;2.62547;0
5.93842;2.62764;0
6.09842;2.36278;0
6.25842;2.36501;0
6.41842;2.36278;0
6.57842;2.36501;0
6.73842;2.36278;0
6.89842;2.36501;0
7.05842;2.10024;0
7.21842;2.10224;0
7.37842;2.10024;0
7.53842;2.10224;0
7.69842;2.10024;0
7.85842;2.10224;0
8.01842;1.83826;0
8.17842;1.83891;0
8.33842;1.83826;0
8.49842;1.83891;0
8.65842;1.83826;0
8.81842;1.83891;0
8.97842;1.83826;0
9.13842;1.57614;0
9.29842;1.57572;0
9.45842;1.57614;0
9.61842;1.57572;0
9.77842;1.57614;0
9.93842;1.57572;0
10.0984;1.31351;0
10.2584;1.31304;0
10.4184;1.31351;0
10.5784;1.31304;0
10.7384;1.31351;0
10.8984;1.31304;0
11.0584;1.05075;0
11.2184;1.0505;0
11.3784;1.05075;0
11.5384;1.0505;0
11.6984;1.05075;0
11.8584;1.0505;0
12.0184;0.788136;0
12.1784;0.787795;0
12.3384;0.788136;0
12.4984;0.787795;0
12.6584;0.788136;0
12.8184;0.787795;0
12.9784;0.788136;0
13.1384;0.525253;0
13.2984;0.525368;0
13.4584;0.525253;0
13.6184;0.525368;0
13.7784;0.525253;0
13.9384;0.525368;0
14.0984;0.262569;0
14.2584;0.262741;0
14.4184;0.262569;0
14.5784;0.262741;0
14.7384;0.262569;0
14.8984;0.262741;0
15.0584;2.80561e-05;0
15.2184;-2.75751e-05;0
15.3784;2.8056e-05;0
15.5384;-2.7575e-05;0
15.6984;2.8056e-05;0
15.8584;-2.7575e-05;0
16;2.80559e-05;0
